PopulationSize,CooperationIndex,CooperationIndexMin,CooperationIndexMax,CooperationIndexZeroProportion,CooperationIndexWithoutZeros,
10,0.5715665532790949,0.0,0.95,0.3163774519230769,0.8359646948114275,
20,0.5330692305697908,0.0,0.9625,0.3532737019230769,0.8234375239473957,
30,0.45012019096702965,0.0,0.9666666666666667,0.45827100961538464,0.8294172682798081,
40,0.36188714262870164,0.0,0.95,0.5514197596153846,0.803685104040134,
50,0.27192812780523173,0.0,0.945,0.639415560897436,0.7432946233381523,
60,0.24221431083067446,0.0,0.9416666666666667,0.6763715865384615,0.7226140444240918,
70,0.1919513889088747,0.0,0.9357142857142857,0.733161266025641,0.6714068045654656,
80,0.1792286761319106,0.0,0.940625,0.7474185096153846,0.6722735750764439,
90,0.1372194493854662,0.0,0.9361111111111111,0.7958578205128205,0.6493436397897379,
100,0.15144331874933506,0.0,0.93,0.7740729006410256,0.5364724892346605,
110,0.08993153168700914,0.0,0.9295454545454546,0.8454478525641026,0.5009092148248053,
120,0.07369819280836581,0.0,0.9229166666666667,0.8660716506410256,0.4498720701045755,
130,0.05037876725791689,0.0,0.9365384615384615,0.8881372115384616,0.30370891367017705,

---------------,--------------------,-----------------,---------------,-------------------
Multiple Runs per Z
PopulationSize,CooperationIndex,CooperationIndexMin,CooperationIndexMax,CooperationIndexZeroProportion,CooperationIndexWithoutZeros,
5,0.27513007552081864,0.0,1.0,0.6830223958333335,0.8678362716322475,
5,0.2743850468749849,0.0,1.0,0.6837029166666667,0.8673561837586802,
5,0.26274509895831355,0.0,1.0,0.6960652083333334,0.8637552974189877,
10,0.33832647656361803,0.0,0.95,0.5923419791666666,0.8251868878743256,
10,0.32569127734473,0.0,0.95,0.6060915104166666,0.8260619648942762,
10,0.3268562968760143,0.0,0.95,0.6074875520833334,0.8318311822010789,
20,0.34982168554691395,0.0,0.9625,0.5681027083333333,0.8064626757133185,
20,0.4121125299476119,0.0,0.9625,0.4979125520833334,0.8163114517794903,
20,0.33358750390628034,0.0,0.9625,0.5836852604166667,0.7968168517340728,
30,0.21056499783008187,0.0,0.9583333333333334,0.72712359375,0.7130110941916623,
30,0.30839804861145276,0.0,0.9583333333333334,0.6189410937500001,0.75077044502494,
30,0.2480387135419436,0.0,0.9583333333333334,0.6867752604166668,0.7462222253083151,
40,0.2025157317707668,0.0,0.95,0.7329236979166667,0.6602465239197994,
40,0.24447259114576347,0.0,0.95,0.68398,0.6794752645247752,
40,0.19949213997387322,0.0,0.95,0.7354464583333332,0.6690699616035086,
50,0.16425076406173322,0.0,0.94,0.7662880208333334,0.47522128872863384,
50,0.17940113072849348,0.0,0.945,0.7468191666666667,0.531170052806834,
50,0.11343476510423466,0.0,0.94,0.826240625,0.5053412081220815,
60,0.10906049717890608,0.0,0.9375,0.8303852604166666,0.2862212069026633,
60,0.10397923394097106,0.0,0.9375,0.8369765625000001,0.3716194396542233,
60,0.23808551540795883,0.0,0.9375,0.683420625,0.5025905362913785,
70,0.15868482682290672,0.0,0.9321428571428572,0.7724570833333334,0.40049872346519977,
70,0.10635981361603014,0.0,0.9285714285714286,0.8337851562499998,0.3084332466098326,
70,0.10634153329608802,0.0,0.9357142857142857,0.8331964062499999,0.3045816952745111,
80,0.18092122428379454,0.0,0.94375,0.7491033333333335,0.553620452688523,
80,0.09526195133471217,0.0,0.940625,0.845570625,0.3039447935438527,
80,0.1600307656249492,0.0,0.940625,0.77065390625,0.4018999979356582,
90,0.08052180758101805,0.0,0.9222222222222223,0.8626327604166667,0.29493808401572874,
90,0.10680244458910478,0.0,0.9361111111111111,0.8329869270833334,0.38366561256362064,
90,0.10680062268514806,0.0,0.925,0.83087640625,0.3842837253373892,
100,0.07913017994812964,0.0,0.9225,0.8617139062499999,0.2915355372555632,
100,0.07923128007830195,0.0,0.915,0.85989578125,0.29056856074730886,
100,0.07922015833352607,0.0,0.935,0.8600826041666667,0.29424453641957066,
110,0.0867143308475261,0.0,0.9204545454545454,0.85023375,0.2931117277317672,
110,0.02762246827652298,0.0,0.9136363636363637,0.9209477083333333,0.11907425255717145,
110,0.07952509860315757,0.0,0.9159090909090909,0.8599178125000001,0.2913145241531809,
120,0.10565387619363982,0.0,0.9229166666666667,0.8282586458333334,0.21575631933481554,
120,0.10591669325082605,0.0,0.9229166666666667,0.8293244791666667,0.3781959566878783,
120,0.07984247200520206,0.0,0.9291666666666667,0.8604655208333334,0.13013784125927924,
